unitid,institution_name,x2012_13_fte_12_month_enrollment,x2013_14_fte_12_month_enrollment,x2014_15_fte_12_month_enrollment,x2015_16_fte_12_month_enrollment,x2016_17_fte_12_month_enrollment,x2017_18_fte_12_month_enrollment,x2018_19_fte_12_month_enrollment,x2019_20_fte_12_month_enrollment,x2020_21_fte_12_month_enrollment,x2021_22_fte_12_month_enrollment
162007,Bowie State University,4517,4698,4829,4588,4741,5329,5368,5382,5439,5360
162283,Coppin State University,2900,2832,2766,2453,2490,2287,2205,2196,1811,1693
162584,Frostburg State University,5220,4936,4992,5080,4975,4703,4609,4477,4150,3805
162654,Goucher College,1901,1847,1862,1878,1845,1912,1937,1832,1491,1576
162760,Hood College,1770,1757,1758,1677,1571,1526,1461,1514,1573,1569
162928,Johns Hopkins University,21048,21248,22283,23012,23958,24724,25344,26950,27543,28828
163046,Loyola University Maryland,5279,5262,5409,5431,5411,5205,5096,5033,4962,4810
163259,University of Maryland- Baltimore,6518,6436,6367,6419,6707,6884,6884,6839,7097,7195
163268,University of Maryland-Baltimore County,11160,11341,11513,11342,11199,11373,11449,11364,11495,11258
163286,University of Maryland-College Park,36500,33085,33619,33954,34910,35420,35753,37451,36140,35909
163295,Maryland Institute College of Art,2200,2165,2240,2174,2147,2139,2166,2214,1773,2022
163338,University of Maryland Eastern Shore,4414,4219,4232,4244,3711,3446,3109,2943,2523,2332
163453,Morgan State University,7113,6667,6553,7039,6856,7328,7286,7063,6974,7581
163462,Mount St. Mary's University,2313,2222,2285,2233,2151,2269,2385,2376,2602,2525
163578,Notre Dame of Maryland University,1977,2060,2162,1818,1721,1714,1679,1642,1672,1557
163851,Salisbury University,8380,8377,8469,8313,8420,7831,8194,8224,7703,7038
163912,St. Mary's College of Maryland,1981,1896,1840,1812,1716,1655,1669,1569,1616,1604
164076,Towson University,19669,20224,19843,19921,19920,20115,20296,20001,19361,18208
164173,Stevenson University,3862,3944,3692,3485,3582,3440,3275,3235,3185,3061
164216,Washington College,1647,1606,1547,1516,1596,1493,1449,1368,1163,1042
164270,McDaniel College,2558,2477,2486,2405,2299,2280,2211,2390,2529,2517